[00:45:33] INFO | ℹ Live traffic observed from 34.139.124.58 | 34.139.124.58 -> 10.70.109.135
[00:45:33] INFO | ℹ Active connection from 10.70.109.135 (packets: 21) | 34.139.124.58 -> 10.70.109.135
[00:45:33] INFO | ℹ Live traffic observed from 10.70.109.135 | 34.139.124.58 -> 10.70.109.135
[00:45:34] INFO | ℹ Active connection from 34.139.124.58 (packets: 30) | 10.70.109.135 -> 34.139.124.58
[00:45:34] INFO | ℹ Active connection from 10.70.109.135 (packets: 18) | 10.70.109.135 -> 34.139.124.58
[00:45:36] INFO | ℹ Active connection from 10.70.109.135 (packets: 17) | 10.70.109.135 -> 1.1.1.1
[00:45:36] INFO | ℹ Active connection from 1.1.1.1 (packets: 12) | 10.70.109.135 -> 1.1.1.1
[00:45:36] INFO | ℹ Live traffic observed from 1.1.1.1 | 10.70.109.135 -> 1.1.1.1
[00:45:36] INFO | ℹ Active connection from 1.1.1.1 (packets: 3) | 10.70.109.135 -> 1.1.1.1
[00:45:36] INFO | ℹ Active connection from 10.70.109.135 (packets: 3) | 10.70.109.135 -> 1.1.1.1
[00:45:38] INFO | ℹ Active connection from 34.139.124.58 (packets: 3) | 10.70.109.135 -> 34.139.124.58
[00:45:38] INFO | ℹ Live traffic observed from 10.70.109.135 | 10.70.109.135 -> 34.139.124.58
[00:45:38] INFO | ℹ Active connection from 10.70.109.135 (packets: 6) | 10.70.109.135 -> 34.139.124.58
[00:45:38] INFO | ℹ Active connection from 34.139.124.58 (packets: 4) | 10.70.109.135 -> 34.139.124.58
[00:45:55] INFO | ℹ Active connection from 20.42.65.85 (packets: 10) | 20.42.65.85 -> 10.70.109.135
[00:45:55] INFO | ℹ Active connection from 10.70.109.135 (packets: 13) | 20.42.65.85 -> 10.70.109.135
[00:45:55] INFO | ℹ Live traffic observed from 20.42.65.85 | 20.42.65.85 -> 10.70.109.135
[00:45:55] INFO | ℹ Live traffic observed from 10.70.109.135 | 20.42.65.85 -> 10.70.109.135
[00:45:59] INFO | ℹ Active connection from 10.70.109.135 (packets: 16) | 10.70.109.135 -> 52.178.17.232
[00:45:59] INFO | ℹ Live traffic observed from 52.178.17.232 | 10.70.109.135 -> 52.178.17.232
[00:45:59] INFO | ℹ Active connection from 52.178.17.232 (packets: 16) | 10.70.109.135 -> 52.178.17.232
[00:46:00] INFO | ℹ Active connection from 10.70.109.135 (packets: 4) | 10.70.109.135 -> 34.139.124.58
[00:46:04] INFO | ℹ Active connection from 10.70.109.135 (packets: 22) | 34.139.124.58 -> 10.70.109.135
[00:46:04] INFO | ℹ Active connection from 34.139.124.58 (packets: 24) | 34.139.124.58 -> 10.70.109.135
[00:46:04] INFO | ℹ Live traffic observed from 10.70.109.135 | 34.139.124.58 -> 10.70.109.135
[00:46:04] INFO | ℹ Live traffic observed from 34.139.124.58 | 34.139.124.58 -> 10.70.109.135
[00:46:08] INFO | ℹ Active connection from 10.70.109.135 (packets: 19) | 34.139.124.58 -> 10.70.109.135
[00:46:08] INFO | ℹ Active connection from 34.139.124.58 (packets: 17) | 34.139.124.58 -> 10.70.109.135
[00:46:12] INFO | ℹ Active connection from 34.139.124.58 (packets: 10) | 34.139.124.58 -> 10.70.109.135
[00:46:12] INFO | ℹ Active connection from 10.70.109.135 (packets: 10) | 34.139.124.58 -> 10.70.109.135
[00:46:14] INFO | ℹ Active connection from 10.70.109.135 (packets: 17) | 10.70.109.135 -> 20.50.88.235
[00:46:14] INFO | ℹ Active connection from 34.139.124.58 (packets: 8) | 10.70.109.135 -> 20.50.88.235
[00:46:15] INFO | ℹ Active connection from 10.70.109.135 (packets: 11) | 10.70.109.135 -> 20.50.88.235
[00:46:15] INFO | ℹ Active connection from 20.50.88.235 (packets: 8) | 10.70.109.135 -> 20.50.88.235
[00:46:15] INFO | ℹ Live traffic observed from 20.50.88.235 | 10.70.109.135 -> 20.50.88.235
[00:46:19] INFO | ℹ Live traffic observed from 20.50.88.244 | 10.70.109.135 -> 20.50.88.244
[00:46:19] INFO | ℹ Active connection from 34.139.124.58 (packets: 10) | 10.70.109.135 -> 20.50.88.244
[00:46:19] INFO | ℹ Active connection from 20.50.88.244 (packets: 5) | 10.70.109.135 -> 20.50.88.244
[00:46:19] INFO | ℹ Active connection from 10.70.109.135 (packets: 20) | 10.70.109.135 -> 20.50.88.244
[00:46:21] INFO | ℹ Active connection from 10.70.109.135 (packets: 19) | 10.70.109.135 -> 34.139.124.58
[00:46:21] INFO | ℹ Active connection from 34.139.124.58 (packets: 12) | 10.70.109.135 -> 34.139.124.58
[00:46:21] INFO | ℹ Active connection from 20.50.88.244 (packets: 3) | 10.70.109.135 -> 34.139.124.58
